experiment,git_commit,epochs,best_epoch,final_test_nll,best_validation_nll,trainable_parameters,learning_rate,weight_decay,channels,num_blocks,layers_per_block,head_dim,expansion,nll_interpretation
EXP_041,12af1d2838d3bb3cb695a948490cafc9077eff60,600,600,0.16120992600917816,0.15516650676727295,495384,0.0001,0.0,64,6,1,16,4,"Old NLL: Gaussian constant was added once per point, not once per coordinate. Loss ignored variance in the prior; generation used self.var."
EXP_043,12af1d2838d3bb3cb695a948490cafc9077eff60,600,600,0.18435138463974,0.18072719871997833,495384,0.0001,0.0001,64,6,1,16,4,"Old NLL: Gaussian constant was added once per point, not once per coordinate. Loss ignored variance in the prior; generation used self.var."
EXP_047,5a27efed47cf76c36f7b2d72b608a475c16ee8c9,1000,1000,0.5418934226036072,0.5427770018577576,495384,0.00025,0.0001,64,6,1,16,4,"Coordinate-wise NLL fix: sums [sequence, coordinate] and normalizes by T*C. Loss uses unit variance; generation still uses self.var."
EXP_048,5a27efed47cf76c36f7b2d72b608a475c16ee8c9,1000,980,0.5624619722366333,0.5634046792984009,495384,0.00025,0.0,64,6,1,16,4,"Coordinate-wise NLL fix: sums [sequence, coordinate] and normalizes by T*C. Loss uses unit variance; generation still uses self.var."
EXP_049,89e61ea07a604109a3fdf8aa73479255e7c38b6a,1000,960,0.5088222026824951,0.5076184868812561,495384,0.00025,0.0001,64,6,1,16,4,"Coordinate-wise NLL fix plus learned self.var in the loss and generation (per-position, per-coordinate prior variance)."
EXP_050,89e61ea07a604109a3fdf8aa73479255e7c38b6a,1000,960,0.5227508544921875,0.525230348110199,495384,0.00025,0.0,64,6,1,16,4,"Coordinate-wise NLL fix plus learned self.var in the loss and generation (per-position, per-coordinate prior variance)."
