sweep,sweep_parameter,sweep_value,experiment_id,experiment_type,model,learning_rate,batch_size,epochs,seed,conditional,weight_decay,early_stopping_patience,evaluation_frequency,points_per_batch,dataset_num_batches,noise,plot_batches,device,dataset_path,num_layers,hidden_features,in_channels,channels,num_blocks,layers_per_block,head_dim,expansion,nvp,notes,run,run_id,status,started_at,finished_at,training_time_seconds,epochs_completed,best_epoch,best_training_loss,best_validation_loss,final_train_loss,final_validation_loss,final_test_loss,nll,trainable_parameters,dataset_sha256,git_commit,config_path,metrics_path,checkpoint_path,plots_path,parameters_json,error
weight_decay,weight_decay,0,EXP_009,parameter_sweep,real_nvp,0.001,500,600,7,YES,0,6,20,500,512,0.05,32,cuda,C:\Users\amanp\OneDrive\Desktop\Uli_Projects_Attempts\Uli_Two_Moon_2\two_moons_splits.pt,5,64,,,,,,,,weight decay = 0; LR fixed at 1e-3,YES,run_001,completed,2026-09-03T11:54:03+00:00,2026-09-03T11:55:17+00:00,74.580955,600,600,0.22399289906024933,0.226769357919693,0.2241383194923401,0.226769357919693,0.22393448650836945,0.22393448650836945,23700,338a4a347e1df1c439b3e208b554c7490fbd25606d024e8d05de45de7cddc514,8c017498c5781234318f6fd7a69e825ee4219f0f,C:\Users\amanp\OneDrive\Desktop\Uli_Projects_Attempts\Uli_Two_Moon_2\results\parameter_sweep\EXP_009\run_001\config.json,C:\Users\amanp\OneDrive\Desktop\Uli_Projects_Attempts\Uli_Two_Moon_2\results\parameter_sweep\EXP_009\run_001\raw\real_nvp\params__lr1e-3_ep600_bs500_wd0e0_cond1_seed7_layers5_h64\metrics.json,C:\Users\amanp\OneDrive\Desktop\Uli_Projects_Attempts\Uli_Two_Moon_2\results\parameter_sweep\EXP_009\run_001\raw\real_nvp\params__lr1e-3_ep600_bs500_wd0e0_cond1_seed7_layers5_h64\best_model.pt,C:\Users\amanp\OneDrive\Desktop\Uli_Projects_Attempts\Uli_Two_Moon_2\results\parameter_sweep\EXP_009\run_001\raw\real_nvp\params__lr1e-3_ep600_bs500_wd0e0_cond1_seed7_layers5_h64,"{""batch_size"": 500, ""conditional"": true, ""dataset_num_batches"": 512, ""dataset_path"": ""C:\\Users\\amanp\\OneDrive\\Desktop\\Uli_Projects_Attempts\\Uli_Two_Moon_2\\two_moons_splits.pt"", ""device"": ""cuda"", ""early_stopping_patience"": 6, ""epochs"": 600, ""evaluation_frequency"": 20, ""hidden_features"": 64, ""learning_rate"": 0.001, ""noise"": 0.05, ""num_layers"": 5, ""output_dir"": ""C:\\Users\\amanp\\OneDrive\\Desktop\\Uli_Projects_Attempts\\Uli_Two_Moon_2\\results\\parameter_sweep\\EXP_009\\run_001"", ""plot_batches"": 32, ""points_per_batch"": 500, ""seed"": 7, ""weight_decay"": 0.0}",
weight_decay,weight_decay,1e-05,EXP_010,parameter_sweep,real_nvp,0.001,500,600,7,YES,1e-05,6,20,500,512,0.05,32,cuda,C:\Users\amanp\OneDrive\Desktop\Uli_Projects_Attempts\Uli_Two_Moon_2\two_moons_splits.pt,5,64,,,,,,,,weight decay = 1e-05; LR fixed at 1e-3,YES,run_001,completed,2026-09-03T11:55:17+00:00,2026-09-03T11:56:27+00:00,69.155846,600,600,0.22559982538223267,0.22864492237567902,0.22566969692707062,0.22864492237567902,0.22560429573059082,0.22560429573059082,23700,338a4a347e1df1c439b3e208b554c7490fbd25606d024e8d05de45de7cddc514,8c017498c5781234318f6fd7a69e825ee4219f0f,C:\Users\amanp\OneDrive\Desktop\Uli_Projects_Attempts\Uli_Two_Moon_2\results\parameter_sweep\EXP_010\run_001\config.json,C:\Users\amanp\OneDrive\Desktop\Uli_Projects_Attempts\Uli_Two_Moon_2\results\parameter_sweep\EXP_010\run_001\raw\real_nvp\params__lr1e-3_ep600_bs500_wd1e-5_cond1_seed7_layers5_h64\metrics.json,C:\Users\amanp\OneDrive\Desktop\Uli_Projects_Attempts\Uli_Two_Moon_2\results\parameter_sweep\EXP_010\run_001\raw\real_nvp\params__lr1e-3_ep600_bs500_wd1e-5_cond1_seed7_layers5_h64\best_model.pt,C:\Users\amanp\OneDrive\Desktop\Uli_Projects_Attempts\Uli_Two_Moon_2\results\parameter_sweep\EXP_010\run_001\raw\real_nvp\params__lr1e-3_ep600_bs500_wd1e-5_cond1_seed7_layers5_h64,"{""batch_size"": 500, ""conditional"": true, ""dataset_num_batches"": 512, ""dataset_path"": ""C:\\Users\\amanp\\OneDrive\\Desktop\\Uli_Projects_Attempts\\Uli_Two_Moon_2\\two_moons_splits.pt"", ""device"": ""cuda"", ""early_stopping_patience"": 6, ""epochs"": 600, ""evaluation_frequency"": 20, ""hidden_features"": 64, ""learning_rate"": 0.001, ""noise"": 0.05, ""num_layers"": 5, ""output_dir"": ""C:\\Users\\amanp\\OneDrive\\Desktop\\Uli_Projects_Attempts\\Uli_Two_Moon_2\\results\\parameter_sweep\\EXP_010\\run_001"", ""plot_batches"": 32, ""points_per_batch"": 500, ""seed"": 7, ""weight_decay"": 1e-05}",
weight_decay,weight_decay,0.0001,EXP_011,parameter_sweep,real_nvp,0.001,500,600,7,YES,0.0001,6,20,500,512,0.05,32,cuda,C:\Users\amanp\OneDrive\Desktop\Uli_Projects_Attempts\Uli_Two_Moon_2\two_moons_splits.pt,5,64,,,,,,,,weight decay = 0.0001; LR fixed at 1e-3,YES,run_001,completed,2026-09-03T11:56:27+00:00,2026-09-03T11:57:34+00:00,67.772093,600,580,0.22618544101715088,0.22872644662857056,0.22628240287303925,0.22872644662857056,0.22633621096611023,0.22633621096611023,23700,338a4a347e1df1c439b3e208b554c7490fbd25606d024e8d05de45de7cddc514,8c017498c5781234318f6fd7a69e825ee4219f0f,C:\Users\amanp\OneDrive\Desktop\Uli_Projects_Attempts\Uli_Two_Moon_2\results\parameter_sweep\EXP_011\run_001\config.json,C:\Users\amanp\OneDrive\Desktop\Uli_Projects_Attempts\Uli_Two_Moon_2\results\parameter_sweep\EXP_011\run_001\raw\real_nvp\params__lr1e-3_ep600_bs500_wd1e-4_cond1_seed7_layers5_h64\metrics.json,C:\Users\amanp\OneDrive\Desktop\Uli_Projects_Attempts\Uli_Two_Moon_2\results\parameter_sweep\EXP_011\run_001\raw\real_nvp\params__lr1e-3_ep600_bs500_wd1e-4_cond1_seed7_layers5_h64\best_model.pt,C:\Users\amanp\OneDrive\Desktop\Uli_Projects_Attempts\Uli_Two_Moon_2\results\parameter_sweep\EXP_011\run_001\raw\real_nvp\params__lr1e-3_ep600_bs500_wd1e-4_cond1_seed7_layers5_h64,"{""batch_size"": 500, ""conditional"": true, ""dataset_num_batches"": 512, ""dataset_path"": ""C:\\Users\\amanp\\OneDrive\\Desktop\\Uli_Projects_Attempts\\Uli_Two_Moon_2\\two_moons_splits.pt"", ""device"": ""cuda"", ""early_stopping_patience"": 6, ""epochs"": 600, ""evaluation_frequency"": 20, ""hidden_features"": 64, ""learning_rate"": 0.001, ""noise"": 0.05, ""num_layers"": 5, ""output_dir"": ""C:\\Users\\amanp\\OneDrive\\Desktop\\Uli_Projects_Attempts\\Uli_Two_Moon_2\\results\\parameter_sweep\\EXP_011\\run_001"", ""plot_batches"": 32, ""points_per_batch"": 500, ""seed"": 7, ""weight_decay"": 0.0001}",
weight_decay,weight_decay,0.001,EXP_012,parameter_sweep,real_nvp,0.001,500,600,7,YES,0.001,6,20,500,512,0.05,32,cuda,C:\Users\amanp\OneDrive\Desktop\Uli_Projects_Attempts\Uli_Two_Moon_2\two_moons_splits.pt,5,64,,,,,,,,weight decay = 0.001; LR fixed at 1e-3,YES,run_001,completed,2026-09-03T11:57:35+00:00,2026-09-03T11:58:43+00:00,68.015190,600,580,0.23229563236236572,0.23413003981113434,0.2325121909379959,0.23413003981113434,0.23180809617042542,0.23180809617042542,23700,338a4a347e1df1c439b3e208b554c7490fbd25606d024e8d05de45de7cddc514,8c017498c5781234318f6fd7a69e825ee4219f0f,C:\Users\amanp\OneDrive\Desktop\Uli_Projects_Attempts\Uli_Two_Moon_2\results\parameter_sweep\EXP_012\run_001\config.json,C:\Users\amanp\OneDrive\Desktop\Uli_Projects_Attempts\Uli_Two_Moon_2\results\parameter_sweep\EXP_012\run_001\raw\real_nvp\params__lr1e-3_ep600_bs500_wd1e-3_cond1_seed7_layers5_h64\metrics.json,C:\Users\amanp\OneDrive\Desktop\Uli_Projects_Attempts\Uli_Two_Moon_2\results\parameter_sweep\EXP_012\run_001\raw\real_nvp\params__lr1e-3_ep600_bs500_wd1e-3_cond1_seed7_layers5_h64\best_model.pt,C:\Users\amanp\OneDrive\Desktop\Uli_Projects_Attempts\Uli_Two_Moon_2\results\parameter_sweep\EXP_012\run_001\raw\real_nvp\params__lr1e-3_ep600_bs500_wd1e-3_cond1_seed7_layers5_h64,"{""batch_size"": 500, ""conditional"": true, ""dataset_num_batches"": 512, ""dataset_path"": ""C:\\Users\\amanp\\OneDrive\\Desktop\\Uli_Projects_Attempts\\Uli_Two_Moon_2\\two_moons_splits.pt"", ""device"": ""cuda"", ""early_stopping_patience"": 6, ""epochs"": 600, ""evaluation_frequency"": 20, ""hidden_features"": 64, ""learning_rate"": 0.001, ""noise"": 0.05, ""num_layers"": 5, ""output_dir"": ""C:\\Users\\amanp\\OneDrive\\Desktop\\Uli_Projects_Attempts\\Uli_Two_Moon_2\\results\\parameter_sweep\\EXP_012\\run_001"", ""plot_batches"": 32, ""points_per_batch"": 500, ""seed"": 7, ""weight_decay"": 0.001}",
