experiment_id,model,seed,status,epochs,epochs_completed,batch_size,conditional,learning_rate,weight_decay,evaluation_frequency,best_epoch,best_validation_loss,final_train_loss,final_validation_loss,final_test_loss,nll,trainable_parameters,metrics_path,config_path,in_channels,channels,num_blocks,layers_per_block,head_dim,expansion,nvp
EXP_MS_001,transformer,7,completed,600,600,500,True,0.001,0.0001,20,580,0.019771818071603775,0.0014239720767363906,0.019771818071603775,0.02138512022793293,0.02138512022793293,396312,results/model_comparison/EXP_MS_001/final_models/transformer/run/metrics.json,results/model_comparison/EXP_MS_001/final_models/transformer/run/config.json,2,64,6,1,64,2,True
EXP_MS_003,transformer,27,completed,600,600,500,True,0.001,0.0001,20,600,0.02464558742940426,-0.006355811841785908,0.02464558742940426,0.02459120564162731,0.02459120564162731,396312,results/model_comparison/EXP_MS_003/final_models/transformer/metrics.json,results/model_comparison/EXP_MS_003/final_models/transformer/config.json,2,64,6,1,64,2,True
EXP_MS_004,transformer,37,completed,600,600,500,True,0.001,0.0001,20,600,0.09339313954114914,0.069224514067173,0.09339313954114914,0.09123842418193817,0.09123842418193817,396312,results/model_comparison/EXP_MS_004/final_models/transformer/metrics.json,results/model_comparison/EXP_MS_004/final_models/transformer/config.json,2,64,6,1,64,2,True
EXP_MS_005,transformer,47,completed,600,600,500,True,0.001,0.0001,20,600,0.007680849172174931,-0.02184329554438591,0.007680849172174931,0.006273004692047834,0.006273004692047834,396312,results/model_comparison/EXP_MS_005/final_models/transformer/metrics.json,results/model_comparison/EXP_MS_005/final_models/transformer/config.json,2,64,6,1,64,2,True
