"experiment_id","model","learning_rate","weight_decay","num_layers","hidden_features","num_blocks","layers_per_block","head_dim","expansion","best_epoch","best_validation_loss","final_test_loss","nll","training_time_seconds","status"
"EXP_024","real_nvp","0.001","0","9","256","","","","","400","0.22277702391147614","0.2197246104478836","0.2197246104478836","1374.913805","completed"
"EXP_032","transformer","0.001","0.0001","","","6","1","64","2","580","0.07386522740125656","0.07469744980335236","0.07469744980335236","1435.042175","completed"
