experiment_id,experiment_type,model,learning_rate,batch_size,epochs,seed,conditional,weight_decay,early_stopping_patience,evaluation_frequency,points_per_batch,dataset_num_batches,noise,plot_batches,device,dataset_path,num_layers,hidden_features,in_channels,channels,num_blocks,layers_per_block,head_dim,expansion,nvp,notes,run
EXP_051,runtime_diagnostic,transformer,0.00025,500,20,7,YES,0.0001,20,20,500,512,0.05,8,cuda,data/runtime_diagnostics/two_moons_p500_b512.pt,,,2,64,6,1,16,4,YES,baseline timing with the current transformer width and depth; only 20 epochs and 8 plotted samples,NO
EXP_052,runtime_diagnostic,transformer,0.00025,500,20,7,YES,0.0001,20,20,100,512,0.05,8,cuda,data/runtime_diagnostics/two_moons_p100_b512.pt,,,2,64,6,1,16,4,YES,sequence-length timing at 100 points; isolates the quadratic attention cost,NO
EXP_053,runtime_diagnostic,transformer,0.00025,500,20,7,YES,0.0001,20,20,250,512,0.05,8,cuda,data/runtime_diagnostics/two_moons_p250_b512.pt,,,2,64,6,1,16,4,YES,sequence-length timing at 250 points; midpoint for the attention scaling check,NO
EXP_054,runtime_diagnostic,transformer,0.00025,500,20,7,YES,0.0001,20,20,500,512,0.05,8,cuda,data/runtime_diagnostics/two_moons_p500_b512.pt,,,2,64,2,1,16,4,YES,depth timing with two transformer blocks instead of six,NO
EXP_055,runtime_diagnostic,transformer,0.00025,500,20,7,YES,0.0001,20,20,500,512,0.05,8,cuda,data/runtime_diagnostics/two_moons_p500_b512.pt,,,2,32,6,1,16,4,YES,width timing with 32 channels instead of 64,NO
EXP_056,runtime_diagnostic,transformer,0.00025,500,20,7,YES,0.0001,20,5,500,512,0.05,32,cuda,data/runtime_diagnostics/two_moons_p500_b512.pt,,,2,64,6,1,16,4,YES,baseline with frequent evaluation and full plotting; estimates non-training overhead,NO
