experiment_id,model,seed,status,epochs,epochs_completed,batch_size,conditional,learning_rate,weight_decay,evaluation_frequency,best_epoch,best_validation_loss,final_train_loss,final_validation_loss,final_test_loss,nll,trainable_parameters,metrics_path,config_path,num_layers,hidden_features
EXP_MS_001,real_nvp,7,completed,600,600,500,True,0.001,0.0,20,580,0.22320878505706787,0.22025789320468903,0.22320878505706787,0.21989095211029053,0.21989095211029053,612900,results/model_comparison/EXP_MS_001/final_models/real_nvp/run/metrics.json,results/model_comparison/EXP_MS_001/final_models/real_nvp/run/config.json,9,256
EXP_MS_003,real_nvp,27,completed,600,260,500,True,0.001,0.0,20,140,0.22448663413524628,0.22204573452472687,0.22448663413524628,0.2216019332408905,0.2216019332408905,612900,results/model_comparison/EXP_MS_003/final_models/real_nvp/metrics.json,results/model_comparison/EXP_MS_003/final_models/real_nvp/config.json,9,256
EXP_MS_004,real_nvp,37,completed,600,400,500,True,0.001,0.0,20,280,0.22322534024715424,0.22040747106075287,0.22322534024715424,0.2197997272014618,0.2197997272014618,612900,results/model_comparison/EXP_MS_004/final_models/real_nvp/metrics.json,results/model_comparison/EXP_MS_004/final_models/real_nvp/config.json,9,256
EXP_MS_005,real_nvp,47,completed,600,600,500,True,0.001,0.0,20,540,0.22287553548812866,0.21976003050804138,0.22287553548812866,0.2197277992963791,0.2197277992963791,612900,results/model_comparison/EXP_MS_005/final_models/real_nvp/metrics.json,results/model_comparison/EXP_MS_005/final_models/real_nvp/config.json,9,256
