run,model,best_epoch,best_validation_loss,final_train_loss,final_validation_loss,final_test_loss,total_trainable_parameters,learning_rate,weight_decay,epochs,batch_size,seed,num_layers,hidden_features,channels,num_blocks,layers_per_block,head_dim,expansion,conditional
parameter_sweep / EXP_005 / run_001 / raw / transformer / params__lr1e-3_ep600_bs500_wd1e-4_cond1_seed7_ch64_blocks4_lpb1,transformer,540,0.1416914016008377,0.12691181898117065,0.1416914016008377,0.14332658052444458,330256,0.001,0.0001,600,500,7,,,64,4,1,64,4,True
parameter_sweep / EXP_006 / run_001 / raw / transformer / params__lr5e-4_ep600_bs500_wd1e-4_cond1_seed7_ch64_blocks4_lpb1,transformer,580,0.18517306447029114,0.17020319402217865,0.18517306447029114,0.18406011164188385,330256,0.0005,0.0001,600,500,7,,,64,4,1,64,4,True
parameter_sweep / EXP_007 / run_001 / raw / transformer / params__lr1e-4_ep600_bs500_wd1e-4_cond1_seed7_ch64_blocks4_lpb1,transformer,600,0.35920828580856323,0.34935739636421204,0.35920828580856323,0.36109405755996704,330256,0.0001,0.0001,600,500,7,,,64,4,1,64,4,True
parameter_sweep / EXP_008 / run_001 / raw / transformer / params__lr5e-5_ep600_bs500_wd1e-4_cond1_seed7_ch64_blocks4_lpb1,transformer,600,0.5608579516410828,0.5552662014961243,0.5608579516410828,0.5622392892837524,330256,5e-05,0.0001,600,500,7,,,64,4,1,64,4,True
parameter_sweep / EXP_009 / run_001 / raw / real_nvp / params__lr1e-3_ep600_bs500_wd0e0_cond1_seed7_layers5_h64,real_nvp,600,0.226769357919693,0.2241383194923401,0.226769357919693,0.22393448650836945,23700,0.001,0.0,600,500,7,5,64,,,,,,True
parameter_sweep / EXP_010 / run_001 / raw / real_nvp / params__lr1e-3_ep600_bs500_wd1e-5_cond1_seed7_layers5_h64,real_nvp,600,0.22864492237567902,0.22566969692707062,0.22864492237567902,0.22560429573059082,23700,0.001,1e-05,600,500,7,5,64,,,,,,True
parameter_sweep / EXP_011 / run_001 / raw / real_nvp / params__lr1e-3_ep600_bs500_wd1e-4_cond1_seed7_layers5_h64,real_nvp,580,0.22872644662857056,0.22628240287303925,0.22872644662857056,0.22633621096611023,23700,0.001,0.0001,600,500,7,5,64,,,,,,True
parameter_sweep / EXP_012 / run_001 / raw / real_nvp / params__lr1e-3_ep600_bs500_wd1e-3_cond1_seed7_layers5_h64,real_nvp,580,0.23413003981113434,0.2325121909379959,0.23413003981113434,0.23180809617042542,23700,0.001,0.001,600,500,7,5,64,,,,,,True
parameter_sweep / EXP_013 / run_001 / raw / transformer / params__lr1e-3_ep600_bs500_wd0e0_cond1_seed7_ch64_blocks4_lpb1,transformer,560,0.17922194302082062,0.15759077668190002,0.17922194302082062,0.176890566945076,330256,0.001,0.0,600,500,7,,,64,4,1,64,4,True
parameter_sweep / EXP_014 / run_001 / raw / transformer / params__lr1e-3_ep600_bs500_wd1e-5_cond1_seed7_ch64_blocks4_lpb1,transformer,600,0.15277205407619476,0.13200029730796814,0.15277205407619476,0.1538943201303482,330256,0.001,1e-05,600,500,7,,,64,4,1,64,4,True
